toplevel,item,article,block
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e586
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e592
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e595
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e604
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e607
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e610
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e613
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e620
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e630
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e633
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e636
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e639
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e661
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e670
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e673
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e676
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-d1e679
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Dd1e556
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Dd1e581
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Dd1e599
aquinasscriptum,ta-l4d17q2,ta-l4d17q2-Dd1e548,ta-l4d17q2-Dd1e625
